measure,location,sex,age,cause,rei,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Ireland,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,285.10722535045556,543.3274307922277,111.7983571867334
YLDs (Years Lived with Disability),Ireland,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,198.60712485080828,392.0384765528245,63.262474324824886
YLDs (Years Lived with Disability),Ireland,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,336.9545401914829,683.8136203712596,113.58836451906498
YLDs (Years Lived with Disability),Slovakia,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,12.529337680334631,28.91131550260145,3.482959190454326
YLDs (Years Lived with Disability),Slovakia,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,28.90238219425728,62.39814372171729,10.35528827662105
YLDs (Years Lived with Disability),Slovakia,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,37.6508482692163,77.78996698649476,13.275486400106361
YLDs (Years Lived with Disability),Slovakia,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,94.03757428538248,181.18568434261167,35.98601965946304
YLDs (Years Lived with Disability),Slovakia,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,53.24025762420186,112.92554660183848,16.557144243656833
YLDs (Years Lived with Disability),Slovakia,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,163.92263051154296,328.6156770316995,53.39436401974054
YLDs (Years Lived with Disability),Samoa,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,2.4915301256702733,5.555160416805005,0.7292365641665857
YLDs (Years Lived with Disability),Samoa,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,3.4044384765718774,7.56666829123447,1.1187846473761516
YLDs (Years Lived with Disability),Samoa,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,7.739200111664507,16.100883243511355,2.3828628928314552
YLDs (Years Lived with Disability),Samoa,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,9.687318983495787,19.62084142208817,3.364310734833984
YLDs (Years Lived with Disability),Samoa,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,7.583026184464099,16.47787528963835,2.043401264276534
YLDs (Years Lived with Disability),Samoa,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,10.561304760299977,21.43606903448044,2.8792524376027835
YLDs (Years Lived with Disability),Saint Lucia,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,1.425022921939278,3.1753954569787513,0.4528796766915798
YLDs (Years Lived with Disability),Saint Lucia,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,3.6642714558069702,7.685644474286348,1.3176218924290315
YLDs (Years Lived with Disability),Saint Lucia,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,4.220537660641165,9.128427437082607,1.3854284311303382
YLDs (Years Lived with Disability),Saint Lucia,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,11.427261951021437,21.98059784712598,4.177922201399912
YLDs (Years Lived with Disability),Saint Lucia,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,5.019172216164469,10.561615785845643,1.388164157095739
YLDs (Years Lived with Disability),Saint Lucia,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,15.056228057002272,30.129041922736523,4.58259023961532
YLDs (Years Lived with Disability),Denmark,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,49.260004417497925,106.48029729009801,15.904346738707972
YLDs (Years Lived with Disability),Denmark,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,113.27801412115409,234.90585158536652,43.59100967763981
YLDs (Years Lived with Disability),Denmark,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,91.95807681485802,199.81429681617632,29.283449808583356
YLDs (Years Lived with Disability),Denmark,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,265.6515730140415,527.4540516715554,100.23378217819736
YLDs (Years Lived with Disability),Denmark,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,104.06093071408267,220.10442984382254,28.213414817798792
YLDs (Years Lived with Disability),Denmark,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,364.35591487703766,713.5941724926955,105.68901301894843
YLDs (Years Lived with Disability),Russian Federation,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,618.6564978842416,1345.5549993861794,207.3937965046377
YLDs (Years Lived with Disability),Russian Federation,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,1025.8262610890374,2115.553997112844,402.7701764592877
YLDs (Years Lived with Disability),Russian Federation,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,1917.473172111455,3967.206746337939,598.9232713281586
YLDs (Years Lived with Disability),Russian Federation,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,3521.5419291180874,6549.301172849461,1472.554005897236
YLDs (Years Lived with Disability),Russian Federation,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,2724.2323735910254,6124.216050430479,654.1095142507229
YLDs (Years Lived with Disability),Russian Federation,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,6394.760075661482,12202.937839310587,2312.778378004511
YLDs (Years Lived with Disability),Ecuador,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,200.8328908061651,436.8570622072369,66.70284530019379
YLDs (Years Lived with Disability),Ecuador,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,544.7918896050807,1121.0517961142862,213.246990289583
YLDs (Years Lived with Disability),Ecuador,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,524.9360594080375,1122.7109292006087,171.25432708621153
YLDs (Years Lived with Disability),Ecuador,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,1605.1817718465136,2986.092252001189,703.8750044202889
YLDs (Years Lived with Disability),Ecuador,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,537.6420640055029,1178.167455430936,161.18677655650274
YLDs (Years Lived with Disability),Ecuador,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,1860.5661843603393,3509.0724215440177,744.1491639017448
YLDs (Years Lived with Disability),Estonia,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,10.01573634457871,21.33717573285622,3.4231191130622545
YLDs (Years Lived with Disability),Estonia,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,14.864399881381782,31.116537362035128,5.364547523820834
YLDs (Years Lived with Disability),Estonia,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,26.819501948599196,51.981838741010854,9.372725760078517
YLDs (Years Lived with Disability),Estonia,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,40.61130229654187,76.34909311505982,16.921537827688383
YLDs (Years Lived with Disability),Estonia,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,34.971515330613876,73.88011192496978,8.23999744131743
YLDs (Years Lived with Disability),Estonia,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,63.33369079956622,121.7653858218505,23.461514008655467
YLDs (Years Lived with Disability),Norway,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,47.15349575622123,99.61254818701431,15.514558483999387
YLDs (Years Lived with Disability),Norway,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,85.42337674262204,166.0099922330082,34.083282057518836
YLDs (Years Lived with Disability),Norway,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,120.2848228709693,255.89371955122368,36.09964618643124
YLDs (Years Lived with Disability),Norway,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,250.16024287478967,461.5059735996661,102.45468300271831
YLDs (Years Lived with Disability),Norway,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,139.03734212327842,313.357922752265,38.80199554933288
YLDs (Years Lived with Disability),Norway,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,368.7002424469974,691.5278518968643,133.91989289706456
YLDs (Years Lived with Disability),China,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,4397.193565630679,9450.496702564924,1495.9282992379601
YLDs (Years Lived with Disability),China,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,6753.801958477351,14106.23552346747,2367.3192140271426
YLDs (Years Lived with Disability),China,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,11037.805507740617,22786.494223416154,3540.076041729436
YLDs (Years Lived with Disability),China,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,20858.73651847611,40206.58722872812,7706.554555096106
YLDs (Years Lived with Disability),China,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,14254.661545956638,30529.223220754233,3610.712357284399
YLDs (Years Lived with Disability),China,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,36417.18616198176,71737.60961142831,10719.61001227151
YLDs (Years Lived with Disability),Malta,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,3.4548943925718576,7.6116222680126455,1.1017304371938548
YLDs (Years Lived with Disability),Malta,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,5.030149809210335,10.215594036493975,1.872709506163028
YLDs (Years Lived with Disability),Malta,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,6.1410084372338405,12.833334934489741,2.0906672697317776
YLDs (Years Lived with Disability),Malta,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,11.618080894231948,22.69383888069898,4.543305876494719
YLDs (Years Lived with Disability),Malta,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,6.5544092099280205,14.09503297876924,1.898197684531438
YLDs (Years Lived with Disability),Malta,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,15.493203856502413,30.807319579833575,5.467155549397523
YLDs (Years Lived with Disability),Canada,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,387.093352621119,842.8303993909095,128.7592223325583
YLDs (Years Lived with Disability),Canada,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,851.1965268312416,1769.6734311510381,323.18928415638527
YLDs (Years Lived with Disability),Canada,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,1117.5356714162822,2239.743126758207,421.66667809154694
YLDs (Years Lived with Disability),Canada,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,2659.724196042676,4910.401430380491,1172.7058583277358
YLDs (Years Lived with Disability),Canada,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,1329.30545897959,2727.2949733978144,367.021905522615
YLDs (Years Lived with Disability),Canada,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,3475.5278379394836,6371.244290179884,1455.9960677617316
YLDs (Years Lived with Disability),Greece,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,157.48393452773055,336.07050103804534,50.29292707884183
YLDs (Years Lived with Disability),Greece,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,278.1382156950564,584.0490289641247,105.39553253605264
YLDs (Years Lived with Disability),Greece,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,314.07802401203446,657.1103663472024,103.5463044168695
YLDs (Years Lived with Disability),Greece,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,635.672279987862,1206.0515054129448,264.66316132519563
YLDs (Years Lived with Disability),Greece,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,298.0021357960443,624.4826739148149,84.36984851050808
YLDs (Years Lived with Disability),Greece,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,746.7779867030638,1456.5528506536193,253.1908583301593
YLDs (Years Lived with Disability),Dominica,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,0.6516167400369074,1.4195050450028495,0.20990167966303896
YLDs (Years Lived with Disability),Dominica,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,1.5620943325721681,3.2539138642988163,0.5576769039560191
YLDs (Years Lived with Disability),Dominica,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,1.534248944181887,3.2445164621248117,0.49259169328436553
YLDs (Years Lived with Disability),Dominica,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,4.3346616627550025,8.394374095851255,1.6374005262095634
YLDs (Years Lived with Disability),Dominica,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,1.4603328351769118,3.2662268803222543,0.3831528189640041
YLDs (Years Lived with Disability),Dominica,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,4.987902603922629,10.046435920370183,1.4821267433344414
YLDs (Years Lived with Disability),Lithuania,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,23.84701891002103,47.44101545159799,8.79531089459264
YLDs (Years Lived with Disability),Lithuania,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,36.23050183956492,74.19152405284093,13.852867846298574
YLDs (Years Lived with Disability),Lithuania,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,98.18513246734358,191.3107033905609,36.925484431877756
YLDs (Years Lived with Disability),Lithuania,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,135.15268727327953,252.0711547321688,59.775683564578635
YLDs (Years Lived with Disability),Lithuania,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,160.98776042976738,315.0456120151893,40.73154177936433
YLDs (Years Lived with Disability),Lithuania,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,231.44846890627628,425.13896566611425,89.2151202938108
YLDs (Years Lived with Disability),Micronesia (Federated States of),Male,10-14 years,Depressive disorders,All risk factors,Number,2017,0.9828552939721159,2.2875655327657,0.293943014010555
YLDs (Years Lived with Disability),Micronesia (Federated States of),Female,10-14 years,Depressive disorders,All risk factors,Number,2017,1.5253549809020308,3.4080272108554723,0.4730731547072906
YLDs (Years Lived with Disability),Micronesia (Federated States of),Male,15-19 years,Depressive disorders,All risk factors,Number,2017,3.3530092438689483,7.124271753562279,1.0378541261980767
YLDs (Years Lived with Disability),Micronesia (Federated States of),Female,15-19 years,Depressive disorders,All risk factors,Number,2017,5.720705829158712,11.48135843712159,2.0526538865920223
YLDs (Years Lived with Disability),Micronesia (Federated States of),Male,20-24 years,Depressive disorders,All risk factors,Number,2017,3.8123723231795377,8.586483048846048,1.0122907181717538
YLDs (Years Lived with Disability),Micronesia (Federated States of),Female,20-24 years,Depressive disorders,All risk factors,Number,2017,7.566693015131054,15.144139470255045,2.0475539437379013
YLDs (Years Lived with Disability),Japan,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,355.31702325898965,733.0305560101958,141.31078406884438
YLDs (Years Lived with Disability),Japan,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,1253.5079586326458,2649.3585576335263,390.18912555665713
YLDs (Years Lived with Disability),Japan,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,2207.0832781899803,4134.450681778,841.9435771578493
YLDs (Years Lived with Disability),Japan,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,1629.6163805349718,3468.1139692848947,484.1855737531538
YLDs (Years Lived with Disability),Japan,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,4942.055552847391,9526.13487694322,1498.7104329509775
YLDs (Years Lived with Disability),Italy,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,428.85541677967245,875.9662065855757,145.79951535485134
YLDs (Years Lived with Disability),Italy,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,894.5042889633785,1753.5360830506309,361.8577470855534
YLDs (Years Lived with Disability),Italy,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,865.989240384219,1858.8177242662575,267.44850720702647
YLDs (Years Lived with Disability),Italy,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,2539.0951726803805,4734.709132414208,1011.0766983960611
YLDs (Years Lived with Disability),Italy,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,855.2024915544739,1903.0206329115051,231.46555398381705
YLDs (Years Lived with Disability),Italy,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,3659.936147391929,7092.454927055941,1169.517257229057
YLDs (Years Lived with Disability),Australia,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,366.1264797054893,769.1245404932755,126.14016506061641
YLDs (Years Lived with Disability),Australia,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,615.2112249423337,1246.8380809141665,234.9200027489235
YLDs (Years Lived with Disability),Australia,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,748.4282530676433,1613.5399241482808,254.37289949188204
YLDs (Years Lived with Disability),Australia,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,1739.6528354849136,3244.012277737795,707.1586771154363
YLDs (Years Lived with Disability),Australia,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,851.1076845650401,1833.377403912685,249.07565986018582
YLDs (Years Lived with Disability),Australia,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,2832.1564690022096,5440.2438151056485,980.9844531625333
YLDs (Years Lived with Disability),Romania,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,96.88925375523534,209.30948607942494,30.588377879949444
YLDs (Years Lived with Disability),Romania,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,166.07523882418604,350.7966065877847,58.21665047286428
YLDs (Years Lived with Disability),Romania,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,265.15373387831124,525.0079395153725,92.75658630376397
YLDs (Years Lived with Disability),Romania,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,498.88583397786294,951.3422790517797,207.39427457694478
YLDs (Years Lived with Disability),Romania,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,295.9055821965041,625.9472529956804,83.01684421580596
YLDs (Years Lived with Disability),Romania,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,662.1123569004741,1308.3185418143878,226.49399361425307
YLDs (Years Lived with Disability),Tonga,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,1.5467076166560108,3.2180534755612324,0.4932963701339426
YLDs (Years Lived with Disability),Tonga,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,2.67278626358776,5.696264415587165,0.9405091272871696
YLDs (Years Lived with Disability),Tonga,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,4.320867550049862,8.640196055329447,1.5215591923009004
YLDs (Years Lived with Disability),Tonga,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,7.240223864400034,13.497480954847529,2.8422784130775587
YLDs (Years Lived with Disability),Tonga,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,4.259499437704004,9.276710438745173,1.1297342119284486
YLDs (Years Lived with Disability),Tonga,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,7.806204087943784,15.302991688994751,2.5653341229852757
YLDs (Years Lived with Disability),Uruguay,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,18.397003086466256,42.078307284727885,5.416614171978056
YLDs (Years Lived with Disability),Uruguay,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,47.35600209521808,98.6044118408662,16.66641617488505
YLDs (Years Lived with Disability),Uruguay,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,57.86202186067096,120.74607845586019,18.219295149656837
YLDs (Years Lived with Disability),Uruguay,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,150.6590295295758,296.7540585027597,60.32016570437981
YLDs (Years Lived with Disability),Uruguay,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,71.6742482882337,146.81535187288569,20.630110558041622
YLDs (Years Lived with Disability),Uruguay,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,208.69931722741495,402.64141677567886,74.68740965484317
YLDs (Years Lived with Disability),France,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,1064.9311200648842,2266.691647950155,378.23601656172144
YLDs (Years Lived with Disability),France,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,2061.8901307599676,4228.564010189921,807.760770943233
YLDs (Years Lived with Disability),France,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,1843.5761533199927,3862.372883892394,608.5112383291158
YLDs (Years Lived with Disability),France,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,4340.10047465439,8642.648980065494,1703.8746178242768
YLDs (Years Lived with Disability),France,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,1567.2967995234244,3405.6314239411413,368.8872003053705
YLDs (Years Lived with Disability),France,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,4514.648742911397,8924.792170455956,1464.4295576350446
YLDs (Years Lived with Disability),Armenia,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,8.124938861582136,19.157489096490643,2.3124745544974905
YLDs (Years Lived with Disability),Armenia,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,5.590525934156855,12.215174156641922,1.8857032929287625
YLDs (Years Lived with Disability),Armenia,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,20.02797464020196,44.1666350691474,5.647073834876638
YLDs (Years Lived with Disability),Armenia,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,21.43499497409923,44.146861101383685,7.483283681804785
YLDs (Years Lived with Disability),Armenia,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,26.15526201058264,59.948843264289486,6.655463060211184
YLDs (Years Lived with Disability),Armenia,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,52.562871928670376,122.63503974451929,13.553035153284736
YLDs (Years Lived with Disability),Suriname,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,7.235313295384101,15.963000430313352,2.413771578909325
YLDs (Years Lived with Disability),Suriname,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,20.00169147163634,41.730615284476436,7.5756274590858785
YLDs (Years Lived with Disability),Suriname,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,22.13049631699619,46.86307542587792,7.402543387018988
YLDs (Years Lived with Disability),Suriname,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,65.19563004833473,127.89239587679776,25.105444814746274
YLDs (Years Lived with Disability),Suriname,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,24.68977649378681,54.1706512589872,6.498941347221967
YLDs (Years Lived with Disability),Suriname,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,84.92585979139757,172.38787233417474,24.796390202666153
YLDs (Years Lived with Disability),Brazil,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,3163.433756750872,6618.764756408791,1095.427381117651
YLDs (Years Lived with Disability),Brazil,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,8102.747868639611,15942.563829303237,3184.1989550156723
YLDs (Years Lived with Disability),Brazil,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,5366.137549793443,11411.57746489992,1643.2053710495543
YLDs (Years Lived with Disability),Brazil,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,14307.259366661552,27312.36396233022,5533.341941068936
YLDs (Years Lived with Disability),Brazil,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,4957.620190536825,10693.273388461426,1285.4582558336297
YLDs (Years Lived with Disability),Brazil,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,15310.98092665244,29492.307300463086,5651.576807429415
YLDs (Years Lived with Disability),Haiti,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,122.6689290243928,264.4755589571092,37.588404848491905
YLDs (Years Lived with Disability),Haiti,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,306.49716595533465,684.6527030798891,109.80412323876632
YLDs (Years Lived with Disability),Haiti,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,289.50311584532653,609.2384177103705,89.45102278818254
